symptomid	symptom_norm	symptom_ori	count	cui	cui_name	cui_source	metamap_score	cui_def	gpt3_def
3544	erythromelalgia	Erythromelalgia	17	C0014804	Erythromelalgia	UMLS_API		A peripheral arterial disease that is characterized by the triad of ERYTHEMA, burning PAIN, and increased SKIN TEMPERATURE of the extremities (or red, painful extremities).	a rare disorder that affects the blood vessels and skin, causing episodes of redness, warmth, and pain.  Erythromelalgia is a rare disorder that predominantly affects the blood vessels and skin, causing episodes of redness, warmth, and pain. It is sometimes associated with a feeling of spontaneous heat waves throughout the body. Attacks can be triggered by exercise, stress, or exposure to heat, and may last for minutes to hours. Erythromelalgia can severely affect a person's quality of life. There is no cure, but treatments are available to help lessen the symptoms.
3545	onychoclasis	Onychoclasis	17	C4284007	Onychoclasis	UMLS_API		Excessive longitudinal ridging that gives the surface of the nail plate a rough appearance.	Onychoclasis is a medical condition in which one or more nails are splitting or crumbling.
3546	compressiongarmentapplication	Compression garment application	17	C4324521	Compression garment application	UMLS_API			the use of a compression garment to improve the appearance of a person's body.
3547	cerebrospinalfluidleakage	Cerebrospinal fluid leakage	17	C0023182	Cerebrospinal fluid leak	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	6.91	Discharge of cerebrospinal fluid through a hole through the skull bone most commonly draining from the nose (CEREBROSPINAL FLUID RHINORRHEA) or the ear (CEREBROSPINAL FLUID OTORRHEA).	a medical condition in which cerebrospinal fluid (CSF) leaks out of the nose or ears.
3548	bloodhomocysteinenormal	Blood homocysteine normal	16	C0877301	Blood homocysteine normal	UMLS_API			A blood homocysteine level in the normal range is less than 10 micromoles per liter (micromol/L).
3549	mycoplasmatestpositive	Mycoplasma test positive	16	C2748136	Mycoplasma test positive	UMLS_API			determined when Mycoplasma is found in a person's blood, urine, or other body specimen.  Mycoplasma is a type of bacteria that can cause a variety of illnesses. Some people can also be carriers of the bacteria without showing any signs or symptoms of illness. When Mycoplasma is found in a person's blood, urine, or other body specimen, it is considered a positive test result.
3550	bandneutrophilpercentage	Band neutrophil percentage	16	C1167773	Band neutrophil percentage	UMLS_API			A measure of the percentage of white blood cells in a blood sample that are Band neutrophils.
3551	nuclearmagneticresonanceimagingspinalnormal	Nuclear magnetic resonance imaging spinal normal	16	C3267099	Nuclear magnetic resonance imaging spinal normal	UMLS_API			A normal spinal nuclear magnetic resonance image (MRI) is a medical image that shows the structure of the spinal cord and spinal nerves.
3552	bloodimmunoglobulinenormal	Blood immunoglobulin E normal	16	C0853667	Blood immunoglobulin E normal	UMLS_API			a level of blood immunoglobulin E below 350 IU/ml.  A blood immunoglobulin E level below 350 IU/ml is considered normal.
3553	chlamydialinfection	Chlamydial infection	16	C0008149	Chlamydia Infections	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	11.97	a common sexually transmitted disease, it is caused by bacteria called Chlamydia trachomatis.	A sexually transmitted infection caused by the bacterium Chlamydia trachomatis.
3554	neoplasmskin	Neoplasm skin	16						"A neoplasm is a mass or lump that results when cells in the body grow and divide uncontrollably. The term ""cancer"" is often used to refer to neoplasms, but ""cancer"" is not a specific medical term."
3555	stemcelltransplant	Stem cell transplant	16	C1504389	Stem cell transplant	UMLS_API		A method of hematopoietic reconstitution utilizing stem cells harvested from the circulating blood of a patient or donor.	A stem cell transplant is a medical procedure in which stem cells are injected into a patient's body to treat a disease or condition.
3556	bonemarrowdisorder	Bone marrow disorder	16						A bone marrow disorder is a condition that affects the bone marrow. The bone marrow is a spongy material inside bones that helps produce new blood cells. Disorders that affect the bone marrow can lead to a decrease in the number of red blood cells, white blood cells, and platelets in the blood. This can cause serious health problems.
3557	sleepstudyabnormal	Sleep study abnormal	16	C1096412	Sleep study abnormal	UMLS_API			when you have a medical condition that affects how you sleep.
3558	tryptaseincreased	Tryptase increased	16	C1504322	Tryptase increased	UMLS_API			The definition of tryptase increased is that the level of the enzyme in the blood has increased. Tryptase is a protein that is released by mast cells, and its level can be a marker for inflammation.
3559	encephalomalacia	Encephalomalacia	16	C0014068	Encephalomalacia	UMLS_API		Localized atrophy of the brain parenchyma due to aging, hemorrhage, infarct, or inflammation.	a softening or degeneration of the brain, typically caused by injury or disease.  In medical terms, encephalomalacia refers to a softening or degeneration of the brain. This may be caused by injury, infection, stroke, or any other number of illnesses or diseases. The symptoms of encephalomalacia will vary depending on the person and the cause, but can include seizures, coma, and even death. Treatment for encephalomalacia will also vary depending on the cause, but may involve medication, surgery, or physical therapy.
3560	immunosuppressantdrugtherapy	Immunosuppressant drug therapy	16	C1096650	Immunosuppressant drug therapy	UMLS_API			the administration of one or more drugs to a patient to suppress the immune system.  Immunosuppressant drug therapy is the administration of one or more drugs to a patient to suppress the immune system. Immunosuppressants are often used to treat autoimmune diseases, or to prevent the rejection of a transplanted organ. Some common immunosuppressants include corticosteroids, azathioprine, cyclosporine, and mycophenolate.
3561	bodytinea	Body tinea	16						A fungal skin infection that is caused by a member of the dermatophyte family of fungi. These fungi live on the keratin in the outer layer of the skin, hair, and nails.
3562	throatlesion	Throat lesion	16						:  A lesion of the throat, which can include the larynx, pharynx, and tonsils.
3563	psychomotorskillsimpaired	Psychomotor skills impaired	16	C0877167	Psychomotor skills impaired	UMLS_API			: skills that are used for movement and coordination, such as walking, talking, and writing.
3564	cytopenia	Cytopenia	16	C0010828	Cytopenia	UMLS_API		A laboratory test result indicating an abnormally low quantity of circulating blood cells.	A decrease in the number of circulating red blood cells (anemia), white blood cells, or platelets in the blood.
3565	skinnecrosis	Skin necrosis	16	C0151799	Skin necrosis	UMLS_API		Death of one or more layers of skin.	death of the skin tissue.  Skin necrosis is a condition that results in the death of the skin tissue. It can be caused by a variety of factors, including infection, skin damage, and certain medications. Symptoms of skin necrosis may include skin ulcers, blackened skin, and inflammation. Treatment for skin necrosis typically involves antibiotics, wound care, and surgery.
3566	cerebrovasculardisorder	Cerebrovascular disorder	16						A cerebrovascular disorder is a medical condition that affects the blood vessels in the brain. Damage to the blood vessels can cause problems such as a stroke, which can lead to brain damage, paralysis, or death.
3567	thyroidhormonesincreased	Thyroid hormones increased	16	C1328578	Thyroid hormones increased	UMLS_API			When the thyroid hormones are increased, this means that the amount of thyroid hormones in the blood is higher than normal. This can be a sign of a thyroid disorder, such as hyperthyroidism.
3568	rectaltenesmus	Rectal tenesmus	16	C0232726	Rectal tenesmus	UMLS_API		Painful spasm of the anal sphincter along with an urgent desire to defecate without the significant production of feces; associated with irritable bowel syndrome.	A sensation of incomplete evacuation of feces from the rectum, often accompanied by crampy pain.
3569	culturestoolpositive	Culture stool positive	16						A stool culture is a lab test that looks for bacteria, fungi, and parasites in the stool.
3570	chorea	Chorea	16	C0008489	Chorea	UMLS_API		a group of diseases marked by involuntary and jerky movements	uncontrolled and irregular body movements, usually caused by a neurological disorder.  Chorea is uncontrolled and irregular body movements, usually caused by a neurological disorder. This can include conditions such as Huntington's disease, Wilson's disease, and Sydenham's chorea.
3571	multi-organdisorder	Multi-organ disorder	16	C1141933	Multi-organ disorder	UMLS_API			a disorder affecting more than one organ.
